id,latitude,longitude
245672805,19.1199463,72.9124734
245672811,19.117689,72.8297884
245673165,19.1222384,72.9130087
245673173,19.1209713,72.9372429
245673271,19.123732,72.8511803
245673439,19.1239766,72.9125795
245673683,19.1251007,72.8560929
245673695,19.1243526,72.925306
245673698,19.1248579,72.9326729
245673706,19.1255121,72.856397
245673708,19.1262439,72.8936795
245675024,19.1343909,72.8256736
245675138,19.1400419,72.8262409
245675146,19.1383455,72.93561
245675162,19.1417194,72.8291695
245675491,19.1408075,72.8120832
245675546,19.1434839,72.8197912
245675627,19.1419575,72.8314644
245675997,19.1458947,72.8311388
245676028,19.1462297,72.8366277
245677558,19.1630974,72.8393421
245677658,19.1634725,72.8348764
245678315,19.17425,72.9584224
245678339,19.1705685,72.8316708
245678357,19.1709342,72.8356873
245678362,19.1701273,72.8414453
245678558,19.1737322,72.8367239
245678572,19.1738829,72.8423378
245678584,19.1738331,72.8408254
245678732,19.1767573,72.8371695
245678918,19.1797441,72.8366303
245679479,19.1889956,72.8356701
245679943,19.1957488,72.8338159
245679988,19.1962984,72.8274238
245680020,19.1959319,72.8050319
245680777,19.2076007,72.8291819
245680793,19.2087526,72.8206699
245681159,19.2131559,72.8633453
245681236,19.2170718,72.8480033
245681305,19.2170898,72.8669436
245681405,19.2194251,72.8478853
245681461,19.2186896,72.8663766
245681604,19.2214465,72.867546
245681614,19.2239836,72.8419615
245681894,19.2280761,72.8443597
245681962,19.2285504,72.8478778
245681963,19.2286932,72.8495872
245681970,19.2287431,72.8535029
245681971,19.2286493,72.8559711
245682010,19.229822,72.8535231
245682012,19.2297179,72.856307
245682021,19.2303545,72.8441868
245682025,19.231225,72.8576832
245682042,19.2305362,72.8476178
245682051,19.2312126,72.8567633
245682143,19.2334178,72.8536408
245682155,19.2327455,72.8440457
245682159,19.2332033,72.840571
245682165,19.2338789,72.8571106
245682208,19.2328565,72.8258785
245682226,19.2351259,72.8459762
245682242,19.2352295,72.8536024
245682251,19.2351858,72.8513303
245682254,19.2349657,72.8554662
245682264,19.2350779,72.8475716
245682305,19.2365731,72.8577037
245682360,19.2379846,72.8521695
245682366,19.2378217,72.853582
245682376,19.2380117,72.8513959
245682398,19.2379996,72.8595265
245682619,19.2436189,72.8538325
245682679,19.2451201,72.8453636
245682685,19.2455863,72.8499745
245682714,19.2460401,72.8611007
245682725,19.2470439,72.8544606
245682792,19.2490454,72.8627333
245682820,19.2495706,72.8503364
245682912,19.2520001,72.8639953
245683078,19.2549318,72.8606664
245683104,19.2576584,72.8644435
245683329,19.2847163,72.9011701
245683351,19.2866802,72.905021
276775161,19.019605,72.8563068
278918827,19.0276328,72.8898947
278918833,19.0287502,72.8881218
278918844,19.0277119,72.8923363
278919343,19.0390853,72.8948741
278919358,19.0363645,72.8951366
278919550,19.0390665,72.8947592
290884999,19.0659373,72.9965631
290885002,19.0676246,72.9974644
290885007,19.0703601,72.9974095
290885009,19.068153,72.9972314
290885011,19.0767825,72.9979652
290887512,19.0743739,72.9977239
290888177,19.0666988,72.9983456
296134404,18.997993,72.8220036
296346668,19.0025101,72.8141849
296353470,19.006215,72.8216835
296353488,19.0105751,72.8204915
296354479,19.1014588,72.8391363
296354498,19.1010255,72.8394113
296354499,19.1013871,72.8393975
296362019,19.0594751,72.8368255
296362023,19.0615802,72.8371711
296848617,19.1269909,72.8203495
296849097,19.1080892,72.8403347
296849525,19.1286468,72.8173626
296849526,19.1289177,72.8175799
296849532,19.1297797,72.8175219
296851160,19.1264693,72.8397522
296852386,19.1272331,72.8403593
296853248,19.1275858,72.8471146
